room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2329322,11897267,Shared room,,Sants-Montjuïc,19,4.5,2,1.0,31.0,,41.373585,2.143214,2016-12-13 07:50:04.559431
13259018,74623239,Shared room,,Eixample,2,0.0,1,1.0,38.0,,41.394383,2.16618,2016-12-13 07:48:39.042602
14867931,40883798,Shared room,,Eixample,0,0.0,3,1.0,20.0,,41.398873,2.178901,2016-12-13 07:47:43.043703
15232108,73883032,Shared room,,Les Corts,0,0.0,2,1.0,22.0,,41.37791,2.122282,2016-12-13 07:46:53.630326
8964716,9547606,Shared room,,Les Corts,5,4.0,3,1.0,11.0,,41.377614,2.123367,2016-12-13 07:46:47.853537
15045744,94751180,Shared room,,Sants-Montjuïc,0,0.0,1,1.0,22.0,,41.373569,2.130737,2016-12-13 07:46:47.849542
1823947,9547606,Shared room,,Sants-Montjuïc,44,4.0,16,1.0,10.0,,41.378011,2.129361,2016-12-13 07:46:47.845085
15013369,94751180,Shared room,,Sants-Montjuïc,1,0.0,1,1.0,24.0,,41.373757,2.129161,2016-12-13 07:46:47.842840
8529563,9547606,Shared room,,Les Corts,10,4.0,3,1.0,11.0,,41.37741,2.123894,2016-12-13 07:46:47.834497
15600655,11897267,Shared room,,Sants-Montjuïc,0,0.0,4,1.0,22.0,,41.373056,2.141656,2016-12-13 07:46:39.769766
5868129,17925327,Shared room,,Sants-Montjuïc,20,4.5,6,1.0,18.0,,41.375855,2.134314,2016-12-13 07:46:39.767511
12004763,14471765,Shared room,,Sants-Montjuïc,1,0.0,1,1.0,27.0,,41.372818,2.141042,2016-12-13 07:46:39.763805
12004550,14471765,Shared room,,Sants-Montjuïc,0,0.0,1,1.0,19.0,,41.372968,2.142243,2016-12-13 07:46:39.761610
12930765,14471765,Shared room,,Sants-Montjuïc,2,0.0,1,1.0,27.0,,41.374765,2.141949,2016-12-13 07:46:39.758880
12003755,14471765,Shared room,,Sants-Montjuïc,1,0.0,1,1.0,27.0,,41.373284,2.142032,2016-12-13 07:46:39.756795
12002534,14471765,Shared room,,Sants-Montjuïc,3,4.0,1,1.0,27.0,,41.374531,2.141329,2016-12-13 07:46:39.754112
12004282,14471765,Shared room,,Sants-Montjuïc,0,0.0,1,1.0,27.0,,41.374927,2.140853,2016-12-13 07:46:39.751843
12005600,14471765,Shared room,,Sants-Montjuïc,0,0.0,1,1.0,27.0,,41.374527,2.141853,2016-12-13 07:46:29.649805
7511855,32727836,Shared room,,Sants-Montjuïc,11,4.0,12,1.0,27.0,,41.373457,2.157646,2016-12-13 07:46:28.059931
7965883,41807465,Shared room,,Eixample,3,4.0,6,1.0,117.0,,41.392044,2.153721,2016-12-13 07:46:08.976853
12004864,14471765,Shared room,,Sants-Montjuïc,1,0.0,1,1.0,27.0,,41.374508,2.140874,2016-12-13 07:46:04.598572
14397410,77633060,Shared room,,Sants-Montjuïc,4,4.0,4,1.0,19.0,,41.378029,2.142014,2016-12-13 07:46:04.586299
11597192,267921,Shared room,,Sarrià-Sant Gervasi,0,0.0,1,1.0,43.0,,41.394578,2.124363,2016-12-13 07:45:53.726997
13722943,78488982,Shared room,,Sarrià-Sant Gervasi,0,0.0,1,1.0,827.0,,41.396884,2.132443,2016-12-13 07:45:53.724467
7968315,41807465,Shared room,,Eixample,18,4.0,4,1.0,82.0,,41.393532,2.152668,2016-12-13 07:45:26.137681
7167989,35192439,Shared room,,Sarrià-Sant Gervasi,0,0.0,1,1.0,38.0,,41.39806,2.138573,2016-12-13 07:45:10.294188
12004075,14471765,Shared room,,Sants-Montjuïc,0,0.0,1,1.0,21.0,,41.373542,2.140855,2016-12-13 07:45:05.101494
6633576,34721849,Shared room,,Sants-Montjuïc,38,3.5,2,1.0,16.0,,41.371817,2.143013,2016-12-13 07:44:56.662111
10079912,14471765,Shared room,,Sants-Montjuïc,3,3.5,1,1.0,27.0,,41.37347,2.142795,2016-12-13 07:44:56.653012
7965130,41807465,Shared room,,Eixample,4,4.5,8,1.0,136.0,,41.392055,2.154293,2016-12-13 07:44:47.811061
6712128,32727836,Shared room,,Sants-Montjuïc,33,4.0,12,1.0,27.0,,41.372819,2.157552,2016-12-13 07:44:41.339399
7248807,32727836,Shared room,,Sants-Montjuïc,33,4.0,12,1.0,27.0,,41.372847,2.157184,2016-12-13 07:44:41.337099
14120005,32727836,Shared room,,Sants-Montjuïc,6,3.0,16,1.0,27.0,,41.37416,2.157719,2016-12-13 07:44:41.330880
7291604,38186748,Shared room,,Sants-Montjuïc,19,5.0,1,1.0,25.0,,41.37539,2.14661,2016-12-13 07:44:41.323957
14957360,32727836,Shared room,,Sants-Montjuïc,9,3.0,12,1.0,27.0,,41.374471,2.158262,2016-12-13 07:44:41.317821
15049607,95111862,Shared room,,Eixample,1,0.0,2,1.0,41.0,,41.37632,2.157302,2016-12-13 07:44:22.800182
11830051,41807465,Shared room,,Eixample,8,5.0,2,1.0,22.0,,41.391836,2.154014,2016-12-13 07:44:11.841343
12514138,67775250,Shared room,,Eixample,16,4.5,2,1.0,16.0,,41.387078,2.151224,2016-12-13 07:44:11.835223
9250776,47970510,Shared room,,Eixample,0,0.0,2,1.0,71.0,,41.384898,2.148542,2016-12-13 07:44:09.247176
14105222,17217105,Shared room,,Eixample,0,0.0,2,1.0,55.0,,41.381672,2.152825,2016-12-13 07:44:09.240965
6638779,34746872,Shared room,,Eixample,0,0.0,2,1.0,81.0,,41.38035,2.149504,2016-12-13 07:44:09.236834
7534974,36125503,Shared room,,Eixample,11,3.5,2,1.0,32.0,,41.37838,2.153454,2016-12-13 07:44:09.232292
7233811,9025180,Shared room,,Eixample,27,3.5,7,1.0,23.0,,41.37834,2.155365,2016-12-13 07:44:07.031438
8303693,32953353,Shared room,,Eixample,0,0.0,1,1.0,27.0,,41.379874,2.156073,2016-12-13 07:44:04.534780
11884463,8886800,Shared room,,Eixample,0,0.0,3,1.0,65.0,,41.392629,2.153707,2016-12-13 07:44:01.863144
16342032,104145323,Shared room,,Eixample,0,0.0,2,1.0,65.0,,41.384236,2.145501,2016-12-13 07:43:52.179172
6294064,9057850,Shared room,,Eixample,22,4.0,1,1.0,22.0,,41.381919,2.157783,2016-12-13 07:43:52.174102
9994799,8538802,Shared room,,Eixample,0,0.0,3,1.0,93.0,,41.384249,2.158137,2016-12-13 07:43:35.561861
12145956,20649977,Shared room,,Eixample,2,0.0,2,1.0,43.0,,41.383334,2.154299,2016-12-13 07:43:26.752343
7968185,41807465,Shared room,,Eixample,1,0.0,6,1.0,117.0,,41.392836,2.152753,2016-12-13 07:43:17.755170
8991744,30058325,Shared room,,Eixample,1,0.0,2,1.0,38.0,,41.390007,2.144045,2016-12-13 07:43:17.748913
13584925,6749681,Shared room,,Eixample,1,0.0,2,1.0,55.0,,41.392732,2.1476,2016-12-13 07:43:17.745819
13243959,7181095,Shared room,,Sarrià-Sant Gervasi,9,4.0,1,1.0,11.0,,41.399271,2.150103,2016-12-13 07:43:17.743305
14104582,41807465,Shared room,,Eixample,3,4.0,6,1.0,24.0,,41.391153,2.15437,2016-12-13 07:43:17.740819
7930871,41807465,Shared room,,Eixample,38,4.5,6,1.0,24.0,,41.391746,2.153137,2016-12-13 07:43:17.727278
14105020,41807465,Shared room,,Eixample,15,4.5,4,1.0,27.0,,41.391296,2.153272,2016-12-13 07:43:16.116952
7929911,41807465,Shared room,,Eixample,29,4.5,8,1.0,23.0,,41.393117,2.154236,2016-12-13 07:43:16.109350
6376013,32665441,Shared room,,Eixample,0,0.0,2,1.0,43.0,,41.389648,2.156022,2016-12-13 07:43:11.761384
8626546,44913823,Shared room,,Gràcia,55,4.5,1,1.0,21.0,,41.397185,2.157227,2016-12-13 07:43:11.757665
8745852,44913823,Shared room,,Gràcia,42,4.5,1,1.0,20.0,,41.397824,2.156858,2016-12-13 07:43:11.752412
16110378,10966292,Shared room,,Eixample,0,0.0,2,1.0,38.0,,41.390393,2.155961,2016-12-13 07:43:11.749793
15440152,98818457,Shared room,,Gràcia,2,0.0,1,1.0,21.0,,41.399338,2.158687,2016-12-13 07:43:11.745887
8560332,44913823,Shared room,,Gràcia,34,4.5,1,1.0,21.0,,41.39911,2.158227,2016-12-13 07:43:11.738602
14603651,7181095,Shared room,,Sarrià-Sant Gervasi,3,5.0,1,1.0,16.0,,41.4003,2.149324,2016-12-13 07:43:06.324728
12886647,38192178,Shared room,,Gràcia,4,4.5,2,1.0,32.0,,41.403525,2.157035,2016-12-13 07:43:03.319628
15297195,9196243,Shared room,,Sarrià-Sant Gervasi,0,0.0,1,1.0,24.0,,41.403316,2.147337,2016-12-13 07:43:00.661266
10076856,51704396,Shared room,,Gràcia,0,0.0,1,1.0,25.0,,41.400164,2.159198,2016-12-13 07:43:00.657282
9834454,41706507,Shared room,,Eixample,19,5.0,1,1.0,13.0,,41.392962,2.14747,2016-12-13 07:43:00.652638
8537109,44913823,Shared room,,Gràcia,38,4.5,1,1.0,21.0,,41.398984,2.157648,2016-12-13 07:43:00.642822
14369103,2489450,Shared room,,Sarrià-Sant Gervasi,0,0.0,3,1.0,55.0,,41.40587,2.147004,2016-12-13 07:42:54.553989
13332575,9025180,Shared room,,Gràcia,4,3.5,16,1.0,27.0,,41.407683,2.1593,2016-12-13 07:42:52.012817
16307921,7778897,Shared room,,Gràcia,0,0.0,6,1.0,27.0,,41.412927,2.15628,2016-12-13 07:42:44.582645
16308087,7778897,Shared room,,Gràcia,0,0.0,3,1.0,27.0,,41.411579,2.157052,2016-12-13 07:42:44.578609
5047327,13332406,Shared room,,Horta-Guinardó,5,4.0,16,1.0,20.0,,41.427009,2.16944,2016-12-13 07:42:44.570830
