room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
7596372,1076,14588245,Entire home/apt,,Barcelona,,Sarrià-Sant Gervasi,2,0.0,4,2.0,,131.0,,Precioso apartamento en Barcelona,2017-04-15 23:58:26.664787,41.396628,2.132652,0101000020E6100000F0FD0DDAAB0F0140C556D0B4C4B24440
9664955,1076,1447144,Entire home/apt,,Barcelona,,Eixample,0,0.0,5,3.0,,131.0,,val1 Brand new! 3 bedr 2 bathr flat,2017-04-15 23:51:03.259827,41.406781,2.180997,0101000020E610000095641D8EAE7201402DD1596611B44440
15827369,1076,102477327,Entire home/apt,,Barcelona,,Nou Barris,1,0.0,7,3.0,,131.0,,"charming 3bedrooms flat, 15min from downtown",2017-04-15 23:45:53.666910,41.464658,2.18293,0101000020E610000082A8FB00A476014092E9D0E979BB4440
8665564,1076,1447144,Entire home/apt,,Barcelona,,Gràcia,1,0.0,10,3.0,,111.0,,pg LARGE 3 BEDR FLAT FOR 10 PEOPLE!,2017-04-15 23:37:40.093520,41.419873,2.149087,0101000020E6100000ED116A865431014099BC0166BEB54440
2800563,1076,7925800,Entire home/apt,,Barcelona,,Gràcia,5,5.0,4,1.0,,109.0,,Sunny family apartment in barcelona,2017-04-15 23:29:35.932049,41.413219,2.144257,0101000020E6100000A9C0C93670270140FC8A355CE4B44440
18207723,1076,3566026,Entire home/apt,,Barcelona,,Sant Martí,0,0.0,9,3.0,,109.0,,"Apartment near the sea & CCIB, Forum Barcelona",2017-04-15 23:20:28.139347,41.414548,2.210806,0101000020E610000094675E0EBBAF0140A54FABE80FB54440
15583263,1076,100407333,Entire home/apt,,Barcelona,,Les Corts,1,0.0,4,2.0,,88.0,,Apartamento con dos dormitorios en Barcelona,2017-04-15 23:02:44.741178,41.385383,2.112789,0101000020E6100000D1C952EBFDE6004099B7EA3A54B14440
2216262,1076,11298319,Entire home/apt,,Barcelona,,Les Corts,18,4.5,5,3.0,,93.0,,Apartamento con encanto en LesCorts,2017-04-15 23:02:06.648379,41.388556,2.132067,0101000020E6100000F20BAF24790E01401155F833BCB14440
12335450,1076,52002521,Entire home/apt,,Barcelona,,Ciutat Vella,60,5.0,2,1.0,,99.0,,Old town with private terrace,2017-04-15 22:57:16.386471,41.385743,2.182033,0101000020E61000009757AEB7CD74014099D4D00660B14440
17917043,1076,107474443,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,4,1.0,,93.0,,Cozy apartment in the Barcelona's heart! - 10% OFF,2017-04-15 22:56:15.217071,41.376521,2.173001,0101000020E6100000026729594E620140ECA012D731B04440
9851299,1076,50716055,Entire home/apt,,Barcelona,,Ciutat Vella,49,4.5,3,1.0,,99.0,,Lovely stay,2017-04-15 22:54:48.655901,41.388846,2.178869,0101000020E61000005325CADE526E01401897AAB4C5B14440
7289359,1076,38172980,Entire home/apt,,Barcelona,,Sants-Montjuïc,13,4.0,16,1.0,,66.0,,Unique N Homely En suite Pvt. Rooms,2017-04-15 22:48:38.078181,41.380044,2.131846,0101000020E610000009DE9046050E014040852348A5B04440
18006229,1076,96723846,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,4,0.0,,66.0,,Hermoso apartamento en Barceloneta,2017-04-15 22:42:56.061430,41.378302,2.190581,0101000020E61000006CE9D1544F86014075012F336CB04440
7289382,1076,38172980,Entire home/apt,,Barcelona,,Sants-Montjuïc,11,4.0,10,3.0,,66.0,,Homely and Cozy Rooms,2017-04-15 22:41:50.609427,41.380554,2.131733,0101000020E6100000876EF607CA0D0140552E54FEB5B04440
9880282,1076,6750602,Entire home/apt,,Barcelona,,Sants-Montjuïc,1,0.0,3,2.0,,66.0,,Cozy apartment Plaza Espanya,2017-04-15 22:37:47.586898,41.371008,2.145697,0101000020E6100000A4005130632A0140F646AD307DAF4440
13167519,1076,73559571,Entire home/apt,,Barcelona,,Sarrià-Sant Gervasi,0,0.0,2,1.0,,62.0,,El meu palacete*Loft entero en zona alta de Bcn,2017-04-15 22:37:29.873011,41.404851,2.133145,0101000020E6100000E2016553AE1001405F605628D2B34440
7275178,1076,2041256,Entire home/apt,,Barcelona,,Eixample,43,4.5,4,1.0,,76.0,,Cosy apartment in Sant Antoni,2017-04-15 22:36:21.361765,41.377208,2.161202,0101000020E6100000F9653046244A014011E50B5A48B04440
1135153,1076,1844804,Entire home/apt,,Barcelona,,Ciutat Vella,8,4.5,7,4.0,,80.0,,Nice center  apartment,2017-04-15 22:35:37.813248,41.384764,2.182689,0101000020E610000028B682A625760140CD565EF23FB14440
11581301,1076,4156404,Entire home/apt,,Barcelona,,Ciutat Vella,7,4.5,3,0.0,,82.0,,Sunny and Peaceful loft in Born,2017-04-15 22:35:34.088310,41.388011,2.17782,0101000020E6100000079964E42C6C01407FBE2D58AAB14440
221962,1076,483127,Entire home/apt,,Barcelona,,Nou Barris,11,4.5,4,1.0,,66.0,,Cozy Apartment 2-4 p. in Barcelona,2017-04-15 22:33:57.008680,41.445568,2.177001,0101000020E6100000D7DF12807F6A014073124A5F08B94440
15829332,1076,41820032,Entire home/apt,,Barcelona,,Ciutat Vella,17,4.5,8,3.0,,76.0,,Apartment at the heart of the city,2017-04-15 22:32:57.942859,41.380609,2.168945,0101000020E6100000EE940ED6FF59014019C8B3CBB7B04440
16982820,1076,13882629,Entire home/apt,,Barcelona,,Ciutat Vella,11,4.5,4,1.0,,66.0,,VERY CENTRIC NEAR RAMBLAS,2017-04-15 22:32:05.866338,41.376435,2.172102,0101000020E61000000B9C6C0377600140EE08A7052FB04440
13843615,1076,23136771,Entire home/apt,,Barcelona,,Eixample,5,4.0,3,2.0,,65.0,,Cool & Cozy Apartment in The Heart of Barcelona,2017-04-15 22:32:04.437760,41.39207,2.177174,0101000020E6100000AE9CBD33DA6A014011DF89592FB24440
2470198,1076,12219486,Entire home/apt,,Barcelona,,Sant Andreu,31,4.5,5,2.0,,76.0,,"2 bedrooms, terrace, quiet area",2017-04-15 22:31:20.855499,41.416053,2.188485,0101000020E6100000E04A766C048201408B33863941B54440
3488221,1076,17562533,Entire home/apt,,Barcelona,,Horta-Guinardó,21,4.0,4,3.0,,81.0,,Apartamento en Barcelona,2017-04-15 22:31:04.304889,41.436938,2.162197,0101000020E61000001213D4F02D4C014098309A95EDB74440
16159087,1076,16149569,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,2,1.0,,49.0,,"Pequeño estudio, pleno barrio Raval",2017-04-15 22:29:05.614373,41.379394,2.165501,0101000020E610000072A43330F252014039268BFB8FB04440
7185345,1076,13810972,Entire home/apt,,Barcelona,,Sants-Montjuïc,3,4.0,3,2.0,,55.0,,Delicious apartment in Sants,2017-04-15 22:26:53.188111,41.373555,2.130941,0101000020E6100000F0A485CB2A0C0140EF2076A6D0AF4440
18062913,1076,5767327,Entire home/apt,,Barcelona,,Sants-Montjuïc,0,0.0,2,0.0,,54.0,,1 bedroom renovated historic flat in the center,2017-04-15 22:26:29.471790,41.374964,2.167907,0101000020E6100000E1270EA0DF570140B39602D2FEAF4440
11725299,1076,30629883,Entire home/apt,,Barcelona,,Sant Martí,1,0.0,6,3.0,,1641.0,,PENTHOUSE SEA BARCELONA II,2017-04-15 22:23:14.267747,41.409266,2.217567,0101000020E6100000BA826DC493BD0140B0AE0AD462B44440
17074766,1076,38325952,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,12,5.0,,1967.0,,ESPECIAL IN BARCELONA !,2017-04-15 22:23:14.265200,41.374898,2.189612,0101000020E6100000E76ED74B53840140FCAA5CA8FCAF4440
16753970,1076,45764838,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,6,3.0,,3283.0,,Jewel in Ancient City - Architectural Masterpiece,2017-04-15 22:23:14.262236,41.382209,2.178611,0101000020E610000098A59D9ACB6D0140529E7939ECB04440
16751496,1076,45764838,Entire home/apt,,Barcelona,,Ciutat Vella,0,0.0,12,5.0,,3257.0,,Villa Adriana- Stunning Views of the Mediterranean,2017-04-15 22:23:14.259313,41.385591,2.172354,0101000020E6100000A3AD4A22FB600140E350BF0B5BB14440
17234057,1076,45764838,Entire home/apt,,Barcelona,,Sarrià-Sant Gervasi,0,0.0,7,4.0,,2812.0,,Casa Arriba - 4BR with Spectacular Views,2017-04-15 22:23:14.256501,41.407138,2.12094,0101000020E6100000D6390664AFF70040BC7A15191DB44440
